ID;FIRSTNAME;LASTNAME;IsCustomer?;Revenue;company_name;CreationDate;ADDRESS;CITY;county;STATE;zip;phone1;phone2;EMAIL;web;CUST_TYPE
ID-4010;Mari;Lueckenbach;FALSE;6010.21;Westbrooks, Nelson E Jr;25/10/2019;1 Century Park E;San Diego;San Diego;CA;92110;858-793-9684;858-228-5683;mari_lueckenbach@yahoo.com;http://www.westbrooksnelsonejr.com;Gold
ID-3894;Cherry;Lietz    ;TRUE;4803.67;Sebring & Co;30/08/2014;40 9th Ave Sw #91;Waterford;Oakland;MI;48329;248-980-6904;248-697-7722;cherry@lietz.com;http://www.sebringco.com;Standard
ID-4005;Keneth;Borgman;TRUE;5272.11;Centerline Engineering;02/04/2020;86350 Roszel Rd;Phoenix;Maricopa;AZ;85012;602-919-4211;602-442-3092;keneth@yahoo.com;http://www.centerlineengineering.com;Standard
ID-3993;;Rodefer;FALSE;7454.02;Sat Poly Inc;31/10/2005;2 W Grand Ave;Memphis;Shelby;TN;38112;901-901-4726;901-739-5892;bernardine_rodefer@yahoo.com;http://www.satpolyinc.com;Gold
ID-4007;Elke;Sengbusch;FALSE;9178.36;Riley Riper Hollin & Colagreco;10/06/2018;9 W Central Ave;Phoenix;Maricopa;AZ;85013;602-896-2993;602-575-3457;elke_sengbusch@yahoo.com;http://www.rileyriperhollincolagreco.com;Standard
ID-3844;Geoffrey;    Acey;TRUE;9272.51;Price Business Services;09/06/2011;7 West Ave #1;Palatine;Cook;IL;60067;847-222-1734;847-556-2909;geoffrey@gmail.com;http://www.pricebusinessservices.com;Standard
ID-3918;;Labreche;TRUE;2828.93;Lee Kilkelly Paulson & Kabaker;05/03/2006;9581 E Arapahoe Rd;Rochester;Oakland;MI;48307;248-357-8718;248-811-5696;dulce_labreche@yahoo.com;http://www.leekilkellypaulsonkabaker.com;Silver
ID-3920;Kaitlyn;Ogg;FALSE;5683.29;Garrison, Paul E Esq;02/08/2017;2 S Biscayne Blvd;Baltimore;Baltimore City;MD;21230;410-665-4903;410-773-3862;kaitlyn.ogg@gmail.com;http://www.garrisonpauleesq.com;Premium
ID-3866;Lavonda;Hengel;TRUE;2936.87;Bradley Nameplate Corp;09/11/2008;87 Imperial Ct #79;Fargo;Cass;ND;58102;701-898-2154;701-421-7080;lavonda@cox.net;http://www.bradleynameplatecorp.com;Silver
ID-3985;;Pedrozo;TRUE;2485.88;Barkan, Neal J Esq;02/09/2010;46314 Route 130;Bridgeport;Fairfield;CT;6610;203-892-3863;203-918-3939;teddy_pedrozo@aol.com;http://www.barkannealjesq.com;Standard
ID-3670;Stephen;Emigh    ;FALSE;7408.22;Sharp, J Daniel Esq;16/06/2003;3777 E Richmond St #900;Akron;Summit;OH;44302;330-537-5358;330-700-2312;stephen_emigh@hotmail.com;http://www.sharpjdanielesq.com;Standard
ID-3849;Buddy;Cloney;TRUE;6203.55;Larkfield Photo;28/02/2004;944 Gaither Dr;Strongsville;Cuyahoga;OH;44136;440-989-5826;440-327-2093;buddy.cloney@yahoo.com;http://www.larkfieldphoto.com;Standard
ID-3836;;Dopico;FALSE;9045.45;Garofani, John Esq;02/10/2008;87393 E Highland Rd;Indianapolis;Marion;IN;46220;317-578-2453;317-441-5848;carey_dopico@dopico.org;http://www.garofanijohnesq.com;Standard
ID-3753;Irma;Wolfgramm;FALSE;4422.62;Serendiquity Bed & Breakfast;20/07/2016;9745 W Main St;Randolph;Morris;NJ;7869;973-545-7355;973-868-8660;irma.wolfgramm@hotmail.com;http://www.serendiquitybedbreakfast.com;Standard
ID-3761;Nelida;Sawchuk;TRUE;6928.50;Anchorage Museum Of Hist & Art;12/03/2012;3 State Route 35 S;Paramus;Bergen;NJ;7652;201-971-1638;201-247-8925;nelida@gmail.com;http://www.anchoragemuseumofhistart.com;Gold
ID-3922;Lashawnda;Stuer;FALSE;2205.41;Rodriguez, J Christopher Esq;10/01/2002;7422 Martin Ave #8;Toledo;Lucas;OH;43607;419-588-8719;419-399-1744;lstuer@cox.net;http://www.rodriguezjchristopheresq.com;Silver
ID-3891;Amie;Perigo;FALSE;3513.26;General Foam Corporation;13/10/2006;596 Santa Maria Ave #7913;Mesquite;Dallas;TX;75150;972-419-7946;972-898-1033;amie.perigo@yahoo.com;http://www.generalfoamcorporation.com;Silver
ID-3718;;Maybury;TRUE;2621.00;Eldridge, Kristin K Esq;22/09/2011;4 Warehouse Point Rd #7;Chicago;Cook;IL;60638;773-775-4522;773-539-1058;marti.maybury@yahoo.com;http://www.eldridgekristinkesq.com;Gold
ID-3841;Skye;Fillingim;TRUE;8560.46;Rodeway Inn;05/03/2012;25 Minters Chapel Rd #9;Minneapolis;Hennepin;MN;55401;612-508-2655;612-664-6304;skye_fillingim@yahoo.com;http://www.rodewayinn.com;Silver
ID-3861;Garry;Keetch;FALSE;8530.66;Italian Express Franchise Corp;06/12/2019;5 Green Pond Rd #4;Southampton;Bucks;PA;18966;215-979-8776;215-846-9046;garry_keetch@hotmail.com;http://www.italianexpressfranchisecorp.com;Silver
ID-3953;Izetta;Funnell;FALSE;4618.46;Baird Kurtz & Dobson;22/08/2001;82 Winsor St #54;Atlanta;Dekalb;GA;30340;770-844-3447;770-584-4119;izetta.funnell@hotmail.com;http://www.bairdkurtzdobson.com;Standard
ID-3926;Lashaunda;Lizama;TRUE;3071.74;Earnhardt Printing;26/04/2019;3387 Ryan Dr;Hanover;Anne Arundel;MD;21076;410-678-2473;410-912-6032;llizama@cox.net;http://www.earnhardtprinting.com;Standard
ID-4029;Britt;Galam;FALSE;8171.20;Wheatley Trucking Company;14/12/2010;2500 Pringle Rd Se #508;Hatfield;Montgomery;PA;19440;215-888-3304;215-351-8523;britt@galam.org;http://www.wheatleytruckingcompany.com;Premium
ID-3950;Quentin;Birkner;FALSE;4085.86;Spoor Behrins Campbell & Young;22/07/2000;7061 N 2nd St;Burnsville;Dakota;MN;55337;952-702-7993;952-314-5871;qbirkner@aol.com;http://www.spoorbehrinscampbellyoung.com;Standard
ID-3956;Serina;Zagen;FALSE;5588.95;Mark Ii Imports Inc;02/11/2013;7 S Beverly Dr;Fort Wayne;Allen;IN;46802;260-273-3725;260-382-4869;szagen@aol.com;http://www.markiiimportsinc.com;Standard
ID-3998;Eden;Jayson;FALSE;9027.67;Harris Corporation;29/03/2004;4 Iwaena St;Baltimore;Baltimore City;MD;21202;410-890-7866;410-429-4888;eden_jayson@yahoo.com;http://www.harriscorporation.com;Standard
ID-3592;Minna     ;Amigon;FALSE;5005.56;Dorl, James J Esq;06/11/2019;2371 Jerrold Ave;Kulpsville;Montgomery;PA;19443;215-874-1229;215-422-8694;minna_amigon@yahoo.com;http://www.dorljamesjesq.com;Gold
ID-3596;Cammy;Albares;TRUE;6530.24;Rousseaux, Michael Esq;13/05/2002;56 E Morehead St;Laredo;Webb;TX;78045;956-537-6195;956-841-7216;calbares@gmail.com;http://www.rousseauxmichaelesq.com;Gold
ID-3698;;Palaspas;FALSE;7005.36;Windsor, James L Esq;23/07/2008;5 N Cleveland Massillon Rd;Thousand Oaks;Ventura;CA;91362;805-275-3566;805-638-6617;shawna_palaspas@palaspas.org;http://www.windsorjameslesq.com;Gold
ID-4075;Alesia;Hixenbaugh;TRUE;2318.33;Kwikprint;21/11/2007;9 Front St;Washington;District of Columbia;DC;20001;202-646-7516;202-276-6826;alesia_hixenbaugh@hixenbaugh.org;http://www.kwikprint.com;Premium
ID-3951;Regenia;Kannady;FALSE;7282.20;Ken Jeter Store Equipment Inc;06/07/2005;10759 Main St;Scottsdale;Maricopa;AZ;85260;480-726-1280;480-205-5121;regenia.kannady@cox.net;http://www.kenjeterstoreequipmentinc.com;Gold
ID-3721;Valentin;Klimek;FALSE;8280.62;Schmid, Gayanne K Esq;18/10/2006;137 Pioneer Way;Chicago;Cook;IL;60604;312-303-5453;312-512-2338;vklimek@klimek.org;http://www.schmidgayannekesq.com;Standard
ID-3937;Audry;Yaw;TRUE;4531.14;Mike Uchrin Htg & Air Cond Inc;05/09/2002;70295 Pioneer Ct;Brandon;Hillsborough;FL;33511;813-797-4816;813-744-7100;audry.yaw@yaw.org;http://www.mikeuchrinhtgaircondinc.com;Gold
ID-3584;Art;Venere;FALSE;;Chemel, James L Cpa;21/09/2012;8 W Cerritos Ave #54;Bridgeport;Gloucester;NJ;8014;856-636-8749;856-264-4130;art@venere.org;http://www.chemeljameslcpa.com;Premium
ID-3730;Theola;Frey;TRUE;3603.05;Woodbridge Free Public Library;02/01/2015;54169 N Main St;Massapequa;Nassau;NY;11758;516-948-5768;516-357-3362;theola_frey@frey.com;http://www.woodbridgefreepubliclibrary.com;Gold
ID-3897;Whitley;Tomasulo;TRUE;6099.78;Freehold Fence Co;27/01/2018;2 S 15th St;Fort Worth;Tarrant;TX;76107;817-526-4408;817-819-7799;whitley.tomasulo@aol.com;http://www.freeholdfenceco.com;Gold
ID-3880;;Hirpara;FALSE;4071.98;American Speedy Printing Ctrs;02/04/2006;7563 Cornwall Rd #4462;Denver;Lancaster;PA;17517;717-491-5643;717-583-1497;felix_hirpara@cox.net;http://www.americanspeedyprintingctrs.com;Silver
ID-3881;Tresa;Sweely;TRUE;8072.38;Grayson, Grant S Esq;13/01/2005;22 Bridle Ln;Valley Park;Saint Louis;MO;63088;314-359-9566;314-231-3514;tresa_sweely@hotmail.com;http://www.graysongrantsesq.com;Standard
ID-4071;Lawrence;Lorens;FALSE;2457.04;New England Sec Equip Co Inc;01/04/2020;9 Hwy;Providence;Providence;RI;2906;401-465-6432;401-893-1820;lawrence.lorens@hotmail.com;http://www.newenglandsecequipcoinc.com;Standard
ID-3955;Zona;Colla;TRUE;5049.07;Solove, Robert A Esq;01/11/2013;49440 Dearborn St;Norwalk;Fairfield;CT;6854;203-461-1949;203-938-2557;zona@hotmail.com;http://www.soloverobertaesq.com;Gold
ID-4047;Joni;Breland;TRUE;7150.41;Carriage House Cllsn Rpr Inc;27/08/2015;35 E Main St #43;Elk Grove Village;Cook;IL;60007;847-519-5906;847-740-5304;joni_breland@cox.net;http://www.carriagehousecllsnrprinc.com;Standard
ID-3688;Twana;Felger;FALSE;7192.59;Opryland Hotel;04/05/2013;1 Commerce Way;Portland;Washington;OR;97224;503-939-3153;503-909-7167;twana.felger@felger.org;http://www.oprylandhotel.com;Standard
ID-3986;Tasia;Andreason;FALSE;7679.45;Campbell, Robert A;12/12/2005;4 Cowesett Ave;Kearny;Hudson;NJ;7032;201-920-9002;201-969-7063;tasia_andreason@yahoo.com;http://www.campbellroberta.com;Premium
ID-3731;Cheryl;Haroldson;TRUE;9450.45;New York Life John Thune;17/04/2016;92 Main St;Atlantic City;Atlantic;NJ;8401;609-518-7697;609-263-9243;cheryl@haroldson.org;http://www.newyorklifejohnthune.com;Premium
ID-3642;;Pugh;FALSE;8206.80;Alpenlite Inc;03/02/2010;201 Hawk Ct;Providence;Providence;RI;2904;401-960-8259;401-300-8122;bpugh@aol.com;http://www.alpenliteinc.com;Silver
ID-3927;Mariann;Bilden;FALSE;7113.89;H P G Industrys Inc;02/07/2005;3125 Packer Ave #9851;Austin;Travis;TX;78753;512-223-4791;512-742-1149;mariann.bilden@aol.com;http://www.hpgindustrysinc.com;Gold
ID-3831;;Stimmel;FALSE;5567.39;Peace Christian Center;22/04/2000;3732 Sherman Ave;Bridgewater;Somerset;NJ;8807;908-722-7128;908-670-4712;portia.stimmel@aol.com;http://www.peacechristiancenter.com;Premium
ID-4070;Catalina;Tillotson;FALSE;6629.16;Icn Pharmaceuticals Inc;05/05/2018;3338 A Lockport Pl #6;Margate City;Atlantic;NJ;8402;609-373-3332;609-826-4990;catalina@hotmail.com;http://www.icnpharmaceuticalsinc.com;Standard
ID-3771;Georgene;Montezuma;TRUE;2918.92;Payne Blades & Wellborn Pa;12/02/2016;98 University Dr;San Ramon;Contra Costa;CA;94583;925-615-5185;925-943-3449;gmontezuma@cox.net;http://www.paynebladeswellbornpa.com;Gold
ID-3743;Dierdre;Yum;FALSE;9043.83;Cummins Southern Plains Inc;18/11/2014;63381 Jenks Ave;Philadelphia;Philadelphia;PA;19134;215-325-3042;215-346-4666;dyum@yahoo.com;http://www.cumminssouthernplainsinc.com;Gold
ID-3914;Leonora;Mauson;FALSE;5763.99;Insty Prints;21/11/2004;3381 E 40th Ave;Passaic;Passaic;NJ;7055;973-412-2995;973-355-2120;leonora@yahoo.com;http://www.instyprints.com;Premium
ID-3991;Glenna;Slayton;TRUE;7770.92;Toledo Iv Care;23/12/2004;2759 Livingston Ave;Memphis;Shelby;TN;38118;901-640-9178;901-869-4314;glenna_slayton@cox.net;http://www.toledoivcare.com;Premium
ID-3631;;Malet;TRUE;6429.36;Bollinger Mach Shp & Shipyard;03/04/2010;209 Decker Dr;Philadelphia;Philadelphia;PA;19132;215-907-9111;215-794-4519;bmalet@yahoo.com;http://www.bollingermachshpshipyard.com;Standard
ID-3708;Talia;Riopelle;FALSE;4769.65;Ford Brothers Wholesale Inc;16/05/2000;1 N Harlem Ave #9;Orange;Essex;NJ;7050;973-245-2133;973-818-9788;talia_riopelle@aol.com;http://www.fordbrotherswholesaleinc.com;Standard
ID-3643;;Vanausdal;TRUE;9158.77;Hubbard, Bruce Esq;09/06/2016;53075 Sw 152nd Ter #615;Monroe Township;Middlesex;NJ;8831;732-234-1546;732-904-2931;jamal@vanausdal.org;http://www.hubbardbruceesq.com;Gold
ID-4038;Sharika;Eanes;TRUE;8423.12;Maccani & Delp;20/01/2018;75698 N Fiesta Blvd;Orlando;Orange;FL;32806;407-312-1691;407-472-1332;sharika.eanes@aol.com;http://www.maccanidelp.com;Gold
ID-3668;Stephaine;Barfield;FALSE;3860.65;Beutelschies & Company;02/12/2007;47154 Whipple Ave Nw;Gardena;Los Angeles;CA;90247;310-774-7643;310-968-1219;stephaine@barfield.com;http://www.beutelschiescompany.com;Standard
ID-3664;Arlette;Honeywell;TRUE;6268.47;Smc Inc;15/08/2016;11279 Loytan St;Jacksonville;Duval;FL;32254;904-775-4480;904-514-9918;ahoneywell@honeywell.com;http://www.smcinc.com;Premium
ID-3738;Yolando;Luczki;TRUE;8574.90;Dal Tile Corporation;17/08/2010;422 E 21st St;Syracuse;Onondaga;NY;13214;315-304-4759;315-640-6357;yolando@cox.net;http://www.daltilecorporation.com;Silver
ID-3657;Moon;Parlato;FALSE;6041.09;Ambelang, Jessica M Md;26/07/2018;74989 Brandon St;Wellsville;Allegany;NY;14895;585-866-8313;585-498-4278;moon@yahoo.com;http://www.ambelangjessicammd.com;Premium
ID-3995;Nichelle;Meteer;TRUE;2812.45;Print Doctor;25/12/2010;72 Beechwood Ter;Chicago;Cook;IL;60657;773-225-9985;773-857-2231;nichelle_meteer@meteer.com;http://www.printdoctor.com;Gold
ID-3648;Penney;Weight;FALSE;2538.43;Hawaiian King Hotel;07/11/2006;18 Fountain St;Anchorage;Anchorage;AK;99515;907-797-9628;907-873-2882;penney_weight@aol.com;http://www.hawaiiankinghotel.com;Standard
ID-3800;Rima;Bevelacqua;FALSE;4729.85;Mcauley Mfg Co;11/10/2006;2972 Lafayette Ave;Gardena;Los Angeles;CA;90248;310-858-5079;310-499-4200;rima@cox.net;http://www.mcauleymfgco.com;Premium
ID-3895;Kattie;Vonasek;FALSE;7836.19;H A C Farm Lines Co Optv Assoc;12/12/2002;2845 Boulder Crescent St;Cleveland;Cuyahoga;OH;44103;216-923-3715;216-270-9653;kattie@vonasek.org;http://www.hacfarmlinescooptvassoc.com;Silver
ID-3683;Louisa;Cronauer;FALSE;9450.76;Pacific Grove Museum Ntrl Hist;31/03/2013;524 Louisiana Ave Nw;San Leandro;Alameda;CA;94577;510-828-7047;510-472-7758;louisa@cronauer.com;http://www.pacificgrovemuseumntrlhist.com;Gold
ID-3821;Alex;Loader;TRUE;7005.46;Sublett, Scott Esq;12/06/2018;37 N Elm St #916;Tacoma;Pierce;WA;98409;253-660-7821;253-875-9222;alex@loader.com;http://www.sublettscottesq.com;Gold
ID-3714;;Madarang;FALSE;4724.57;Silberman, Arthur L Esq;16/12/2005;798 Lund Farm Way;Rockaway;Morris;NJ;7866;973-310-1634;973-225-6259;kimbery_madarang@cox.net;http://www.silbermanarthurlesq.com;Silver
ID-3906;Justine;Ferrario;TRUE;3811.60;Newhart Foods Inc;15/07/2017;48 Stratford Ave;Pomona;Los Angeles;CA;91768;909-993-3242;909-631-5703;jferrario@hotmail.com;http://www.newhartfoodsinc.com;Standard
ID-3764;Junita;Brideau;FALSE;2672.94;Leonards Antiques Inc;07/11/2001;6 S Broadway St;Cedar Grove;Essex;NJ;7009;973-943-3423;973-582-5469;jbrideau@aol.com;http://www.leonardsantiquesinc.com;Premium
ID-3967;Truman;Feichtner;TRUE;2564.68;Legal Search Inc;01/12/2018;539 Coldwater Canyon Ave;Bloomfield;Essex;NJ;7003;973-852-2736;973-473-5108;tfeichtner@yahoo.com;http://www.legalsearchinc.com;Silver
ID-3784;Ashlyn;Pinilla;TRUE;2448.57;Art Crafters;30/07/2002;703 Beville Rd;Opa Locka;Miami-Dade;FL;33054;305-670-9628;305-857-5489;apinilla@cox.net;http://www.artcrafters.com;Standard
ID-4050;Malcolm;Tromblay;FALSE;6333.22;Versatile Sash & Woodwork;16/01/2007;747 Leonis Blvd;Annandale;Fairfax;VA;22003;703-221-5602;703-874-4248;malcolm_tromblay@cox.net;http://www.versatilesashwoodwork.com;Premium
ID-3949;Wynell;Dorshorst;FALSE;8738.68;Haehnel, Craig W Esq;25/11/2003;94290 S Buchanan St;Pacifica;San Mateo;CA;94044;650-473-1262;650-749-9879;wynell_dorshorst@dorshorst.org;http://www.haehnelcraigwesq.com;Gold
ID-3634;;Uyetake;TRUE;4717.19;Lowy Limousine Service;22/12/2004;98839 Hawthorne Blvd #6101;Columbia;Richland;SC;29201;803-925-5213;803-681-3678;sabra@uyetake.org;http://www.lowylimousineservice.com;Standard
ID-4006;Rikki;Nayar;TRUE;6883.51;Targan & Kievit Pa;01/09/2012;1644 Clove Rd;Miami;Miami-Dade;FL;33155;305-968-9487;305-978-2069;rikki@nayar.com;http://www.targankievitpa.com;Standard
ID-3976;;Frerking;TRUE;7057.48;Roberts Supply Co Inc;07/07/2013;8429 Miller Rd;Pelham;Westchester;NY;10803;914-868-5965;914-883-3061;mireya.frerking@hotmail.com;http://www.robertssupplycoinc.com;Silver
ID-3618;;Stockham;TRUE;5855.54;Tri State Refueler Co;23/06/2019;128 Bransten Rd;New York;New York;NY;10011;212-675-8570;212-569-4233;jose@yahoo.com;http://www.tristaterefuelerco.com;Silver
ID-4067;;Asar;TRUE;6724.12;Olsen Payne & Company;15/03/2011;6 Ridgewood Center Dr;Old Forge;Lackawanna;PA;18518;570-648-3035;570-569-2356;loren.asar@aol.com;http://www.olsenpaynecompany.com;Premium
ID-4048;Vi;Rentfro;TRUE;4731.67;Video Workshop;12/05/2018;7163 W Clark Rd;Freehold;Monmouth;NJ;7728;732-605-4781;732-724-7251;vrentfro@cox.net;http://www.videoworkshop.com;Gold
ID-3606;Alisha;Slusarski;TRUE;$ 676015;Wtlz Power 107 Fm;07/11/2005;3273 State St;Middlesex;Middlesex;NJ;8846;732-658-3154;732-635-3453;alisha@slusarski.com;http://www.wtlzpowerfm.com;Premium
ID-3899;Hermila;Thyberg;TRUE;4775.85;Chilton Malting Co;14/07/2018;1 Rancho Del Mar Shopping C;Providence;Providence;RI;2903;401-893-4882;401-885-7681;hermila_thyberg@hotmail.com;http://www.chiltonmaltingco.com;Premium
ID-3690;Donte;Kines;FALSE;6796.74;W Tc Industries Inc;03/07/2009;3 Aspen St;Worcester;Worcester;MA;1602;508-429-8576;508-843-1426;dkines@hotmail.com;http://www.wtcindustriesinc.com;Silver
ID-3710;Lucina;Lary;FALSE;5770.49;Matricciani, Albert J Jr;08/01/2008;8597 W National Ave;Cocoa;Brevard;FL;32922;321-749-4981;321-632-4668;lucina_lary@cox.net;http://www.matriccianialbertjjr.com;Standard
ID-3598;Meaghan;Garufi     ;;8694.07;Bolton, Wilbur Esq;09/04/2011;69734 E Carrillo St;Mc Minnville;Warren;TN;37110;931-313-9635;931-235-7959;meaghan@hotmail.com;http://www.boltonwilburesq.com;Gold
ID-3747;Dorthy;Hidvegi;TRUE;8668.42;Kwik Kopy Printing;04/03/2007;9635 S Main St;Boise;Ada;ID;83704;208-649-2373;208-690-3315;dhidvegi@yahoo.com;http://www.kwikkopyprinting.com;Silver
ID-3909;Jerry;Dallen;TRUE;8380.03;Seashore Supply Co Waretown;01/01/2011;393 Lafayette Ave;Richmond;Richmond City;VA;23219;804-762-9576;804-808-9574;jerry.dallen@yahoo.com;http://www.seashoresupplycowaretown.com;Standard
ID-3860;Salome;Lacovara;FALSE;7467.04;Mitsumi Electronics Corp;28/10/2015;9677 Commerce Dr;Richmond;Richmond City;VA;23219;804-550-5097;804-858-1011;slacovara@gmail.com;http://www.mitsumielectronicscorp.com;Gold
ID-4077;Brittni;Gillaspie;FALSE;3997.46;Inner Label;17/08/2015;67 Rv Cent;Boise;Ada;ID;83709;208-709-1235;208-206-9848;bgillaspie@gillaspie.com;http://www.innerlabel.com;Premium
ID-3686;Rosio;Cork;FALSE;6787.53;Green Goddess;05/02/2007;4 10th St W;High Point;Guilford;NC;27263;336-243-5659;336-497-4407;rosio.cork@gmail.com;http://www.greengoddess.com;Silver
ID-3587;Simona;Morasca;FALSE;9156.55;Chapman, Ross E Esq;29/03/2007;3 Mcauley Dr;Ashland;Ashland;OH;44805;419-503-2484;419-800-6759;simona@morasca.com;http://www.chapmanrosseesq.com;Gold
ID-3846;Pamella;Fortino;FALSE;7700.90;Super 8 Motel;25/10/2005;669 Packerland Dr #1438;Denver;Denver;CO;80212;303-404-2210;303-794-1341;pamella@fortino.com;http://www.supermotel.com;Premium
ID-3722;Melissa;Wiklund;TRUE;2508.20;Moapa Valley Federal Credit Un;23/05/2013;61 13 Stoneridge #835;Findlay;Hancock;OH;45840;419-939-3613;419-254-4591;melissa@cox.net;http://www.moapavalleyfederalcreditun.com;Silver
ID-3939;Vincenza;Zepp;FALSE;5931.19;Kbor 1600 Am;31/12/2003;395 S 6th St #2;El Cajon;San Diego;CA;92020;619-603-5125;619-935-6661;vzepp@gmail.com;http://www.kboram.com;Silver
ID-3876;Lucy;Treston;FALSE;8374.25;Franz Inc;11/04/2000;57254 Brickell Ave #372;Worcester;Worcester;MA;1602;508-769-5250;508-502-5634;lucy@cox.net;http://www.franzinc.com;Standard
ID-3620;;Gillian;TRUE;3546.99;Fbs Business Finance;14/02/2010;775 W 17th St;San Antonio;Bexar;TX;78204;210-812-9597;210-300-6244;valentine_gillian@gmail.com;http://www.fbsbusinessfinance.com;Premium
ID-3878;Yvonne;Tjepkema;FALSE;5864.18;Radio Communications Co;02/12/2017;9 Waydell St;Fairfield;Essex;NJ;7004;973-714-1721;973-976-8627;yvonne.tjepkema@hotmail.com;http://www.radiocommunicationsco.com;Standard
ID-3728;Gearldine;Gellinger;FALSE;9034.96;Megibow & Edwards;31/07/2004;4 Bloomfield Ave;Irving;Dallas;TX;75061;972-934-6914;972-821-7118;gearldine_gellinger@gellinger.com;http://www.megibowedwards.com;Gold
